,Name,Date,Star Rating,Title,Feedback
0,Alexvs,Mar 1 at 10:57 AM,5,Bought for the wife but now I'm hooked!,"I originally bought this for my wife as she used to do Les Mills with a friend as part of their workouts and loved it. It actually made her go from Quest hater to lover and after a few weeks of this and her new diet, she's started seeing the weight loss already.

Obviously I had to test it out for myself and boy did I feel it the next day! I'm now a convert too! It's amazing that there's no subscription and they've added new workouts as part of their updates.

I'm glad I bought this and I'm sure you will be too. If you want to workout regularly then this is a must have! If you're on the fence then you can also get 25% off using the following referral link: https://www.oculus.com /appreferrals/AlexBGM/4015163475201433 (remove space after com as doesn't allow links)"
1,Ben2011,16 days ago,5,Great Workouts,"Got this about a month ago and it's really awesome. You really get a great workout with this app, afterward you're sweating good. Best of all you get the full game, no in game purchases or subscription. If you want to sweat and lose weight and get fit, this is the app to get. No gym needed, just make room in your house and get to working out, I enjoy this app."
2,Doneus,Mar 16 at 11:30 PM,5,Just what I needed!,"Hey folks listen up... I'm 61 years old (so peer pressure doesn't have much effect), I'm 275 lb after losing 30 recently (so you can see I'm not easily motivated to exercise) but I am finding this program inspirational! I'm not sure what it is but I actually enjoy doing the workouts. This is something I haven't been able to say for 45 years. I'm not sure if it is the real person trainers that talk you through it or the leaderboard that strikes a chord with my competitive nature but it just works. And please don't think if a 61-year-old 275 lb dude can do it that it's too easy. It is not! Please give it a try you will not regret it."
3,Kirbo,16 days ago,5,Great way to supplement your workouts,"Les Mills BodyCombat is not a game at all, it’s a workout regiment that makes use of your upper and lower body. You’re not just flailing around but doing actual body movements that are designed to raise your heart rate and burn body fat.

I use it exclusively after every gym session where I lift weights and do light cardio on the treadmill. Once I get home the real cardio starts.

There’s different levels of intensities and workouts you can choose from that range from a quick 5 minute sweat to a 20 minute endurance. 

I believe this is what VR should be more about, Les Mills definitely hit the target with this app and I recommend it to anyone who wants to supplement their current workout regiments or wanting to get into a more active lifestyle."
4,Dave Broche,Mar 18 at 4:03 AM,5,Lost 25 pounds!! Get 25% off!!,"I started this weight loss journey being 6’3” and 255 pounds. After a few weeks of doing intermediate workouts I started doing “Advanced”. With making better food choices and doing 45 minutes of advanced workouts per day, I lost 25 pounds so far in just over 2.5 months. At my metrics, 45 minutes of advanced in over 800 calories burned. The commentary gets a little repetitive but I’m in it to workout and lose weight, not enjoy the commentary. Highly recommend this app. 

Use my referral link for 25% off your app purchase

https://linktr.ee/dbroche"
5,HolmesJD,19 days ago,5,One of the best workout games,"Thank you, thank you, thank you for not making this a subscription game!  This game is far better than other games that you might find similar in nature.  I love the knee strikes, the varied direction of punches (up, down, in, out, straight), and the body mechanics for slips are great!  You get a full body workout and you will need to pause to wipe the sweat from your eyes and headset!  The coaching is fun and I appreciate that it isn't repetitive phrases.  There is a great variety of difficulties and length of workouts to fit your mood or fitness level."
6,Susan,Mar 5 at 8:06 PM,5,Excellent workout,"I asked for the oculus for my 51st.  birthday because I get bored easily with exercise. I personally need lot of work to get back in shape, and also for my wellbeing. I found this app and I can go at my own pace and options for changing the workouts. I don’t have to clutter my home with workout equipment or a gym membership that I will not use. When using this app I feel that I have been working out. It’s a good workout for me and it can be tuned to fit you. I give it five stars because it drives me to want to work out. It’s instructional, motivating and encourages you to keep going."
7,David,Mar 12 at 2:00 PM,5,"Great workout app, worth every euro!","This is an awesome game. It is a great work-out with three different levels of difficulty and a lot of great moves to master. 

If have some knee problems and with LMBC you can focus on upper body workouts if you want, which are indicated as such in the app. 

The tutorials are also to-the-point and very helpfull to achieve better results.

Two thing on my wishlist: 

1. co-op mode, a way play a  workout together with a friend
2. keep it a non subscription app please (even DLC is better)

Keep up the good work."
8,RnB,Mar 9 at 11:41 PM,5,Well-rounded workouts (25% off),"I used Supernatural for a month when it first released. I've been using FitXR for the past 90 days. I think those are both good apps.

Now I picked up Les Mills and am finding that I prefer these workouts. It's quite similar to boxing in FitXR, but requires more of your body. I'm a fan of coaches working with you through the workout, so for me these coaches are great. They are constantly pushing you and providing tips. This app doesn't care much about the music. 

Using my Garmin watch, I've found that I burn calories at the same rate as advanced boxing levels on FitXR. But I also feel like I'm working more muscle groups.

Get 25% off with this link (delete the spaces in the url)
bit .ly /3Zzxlo7"
9,Jackpants,12 days ago,5,"As corny as it is, it is really good :)","25% DISCOUNT: jackquest.wordpress.com
Remember you can refund before 2 hours playing and 2 weeks owning (few times per month). Hope this helps!

REVIEW:

I don't keep games unless I know I will play them often. This one is an obvious keeper because it is a very good work out. 

Exercise-wise it feels like a combination of Pistol Whip (legs) and Thrill of the Fight afterward. I enjoy chasing the leader and feel good when I do well, so that's a real motivator.. I like those moments when the leader clearly runs out of energy and just crashes (except when it's me!).

The downside is you can do it lazy -- the ai can only kinda watch you, so this is a hardware limitation -- but generally if your form is good and you try harder your score will be higher. It's up to you. They do give helpful reminders as you go, and sometimes these hints are surprisingly well timed with when I get sloppy. Yesterday she said ""Well that wasn't pretty remember to keep that elbow up ... There, good!"" So at least there is some attention to what your hands are doing in real time. 

Music-wise I mostly don't notice the tunes except that they are there and not invasive. Usually some epic type of movie-like soundtrack that gives the right tempo for the workout. Importantly, all the hits are well timed with the music, unlike all the other target boxing games I have played.

Anyway, enough said. My butt is sore."
10,Mom,Jan 18 at 6:05 AM,5,Great investment,"1. Only a one time extremely low fee compared to supernatural that charges the same fee per month
2. Have been using for a month now and at first I thought easy was hard but I’m now progressing onto intermediate
3. Levels are challenging I have to stop after 2 sessions as I’m so out of breath and sweaty! 
4. Really like the coaches that give you guidance for your form to engage your muscles to get more out of your workout 
5. Working out doesn’t feel like working out I could do everyday
6. Leader board makes you want to do better. I’m trying to beat a certain someone that always happens to be on when I’m on
7. Like that it tracks your past progress"
11,Bob Welshon,5 days ago,4,Please shut up for a second,"Don't get me wrong, I like this app, but could the instructors keep quiet for just a few seconds? I wish there was a setting to tell the app how much instructor feedback you want, something like (Minimal, Moderate, Maximum). I'm near the point where I want to turn the sound down completely, but then you would miss out on other sounds, like hitting targets.
Oh, and after a month of owning this game, the dialog becomes obviously repetitive.
Still, I like it, it gets me up and going, just needs a few tweaks."
12,Gill,Feb 18 at 10:03 PM,5,Best purchase i ever ever made,"So here me out. I hate the gym, going to classes and im sticking at nothing. I bought meta quest on a whim hoping id get fit. Knowing i wouldnt. This app has changed all of that. Its engaging, challenging but fun. It records calories, workouts and time spent. That really helps me see how much i am achieving and i love there is such a different choice of classes some just a couple of minutes which i know even on a low day i can do and get it over with. 

Hands down the best fitness app i have ever used. You wont regret it. 

Reviewed by a certified couch potato!  


I used a 25% off code to purchase and you can use my code for 25% off use my linktree below or dm for code :-) 

Search linktr.ee/beargills in you internet browser to access all my available codes

https://linktr.ee/beargills"
13,Josh,Mar 16 at 6:27 PM,5,Why wouldn't you?,"I'm a 58 year young man. In January I had high blood pressure and weighed 107kg. I purchased Les Mills to get my weight and blood pressure down. I started off doing 5 minutes per day. Now I can train for 30 minute sessions. Currently I weigh 97kg and my blood pressure is 137/83. I feel great. Look out for me and say ""hi"". Wiganwarrior2022"
14,Bruce W.,25 days ago,5,This is the best fitness app!,"This fitness app is great at motivating and inspiring you to keep challenging yourself.  

It has a large selection of content and variety ￼to keep you excited and engaged in your workouts.  I’ve been playing for two weeks straight so far and I still haven’t reached the intermediate level yet, which appears to be packed with content as well, not to mention the advanced levels.

What is also terrific about this game is that once you purchase it you will own it and be able to play as little or as much as you like.  Unlike the other subscription based fitness apps, which do not allow you to own the contains you end up paying much more for much less.

This is the best fitness app!

Anyhow, if you would like 25% off and if you found my feedback useful, please use the below link if you purchase.  Thanks!

https:// 
www.oculus. com/ appreferrals/Sirbcw/ 4015163475201433/

(Just remove the spaces)"
15,Lu,Dec 12 at 12:03 AM,5,Best Workout App,"This is hands down the best workout app on the quest 2. This game is not subscription based, and gives actual workouts.

The only suggestions I have is to please allow us to change the background setting, add more natural settings, allow us to play our own music, and allow us to make our own custom workouts.

But this game is 5 stars either way. Thanks for creating a non-subscription workout game!

Feel free to use this link for 25% off:
https://www.oculus.com/appreferrals/Lu_Million/4015163475201433/?utm_source=2"
16,Dave,Feb 27 at 1:27 PM,5,Review + 25% discount offer,"This game will make you sweat. Unlike other exercise games there is no monthly subscription, workout as often as you like. Includes fitness tracking to keep yourself motivated. Doesnt feel like exercising the game and music are great and really pushes you to punch harder and with form

If you want 25% off the game, use my link found on my links page 

https://linktr.ee/moomoosupercow

A list of all my other games and discounts are also found there"
17,Marva,6 days ago,5,Les Mills,I am a person that did little or no exercise on a weekly basis. Since logging onto this in the VR I am in this almost daily. I thoroughly enjoy thinking that I am learning to box but get pleasure in the fact that I am having fun and moving more. I have a long way to go but at least I am doing more than what I have ever done.
