,Name,Date,Star Rating,Title,Feedback
0,Vigilante,14 days ago,5,Much improved! UI + AR + hand tracking,"I tried this when it first came out and was underwhelmed. The UI was not good... the hand tracking was NOT something you'd want to use... and the pass-thru AR was non-existent. My how things have changed! I tried it after the Litesport rebrand and was very surprised at how much better it is now. The UI is much better, you can navigate around easily and everything is intuitive... the hand tracking actually works and works really well, which is very useful when dumbbells... AR pass-thru is amazing (granted I'm using a Quest Pro, which has color and better resolution than the Quest 2)... and they added strength training, so you can use dumbbells, and it shows you what muscle groups you are working. Not yet sure if the premium is worth it, but I'm convinced enough now to try the 7-day trial. Great job to the devs!"
1,Agent M,11 days ago,3,Not mad at them. It's Meta!!!,Be warned: If you do the trial Meta will charge your card bright and early on day 7 and deny you a refund when you try to tell them you just wanted to try the program. I wasn't sure if I wanted to use it often. Now I'm locked in for a year. I hope TikTok finishes kicking meta's crooked a$$! That was so low down and dirty. They didn't give me an option to pay monthly. They just took my money..
2,Liz,Mar 15 at 4:15 PM,4,"I like it, but ...","How to rate Liteboxer? It's kind of tough, because there's actually 2 versions: the free version, and the premium content version. I'll give the free version 5 stars easily, because it's free and it's quite fun. But when I decided to try the Premium version, that's when it sort of fell apart.

It's just a little too expensive for what we get. This costs almost twice as much as FitXR, but I feel like I get more out of FitXR. And maybe the music is better, but there's not nearly enough tracks available in the punchtracks. I really do like the full body workout and the trainer mitt sessions, but once again, I don't see why I have to pay this much for it.

The playlist feature is really great, probably one of my favorite things, to be able to chain together different types of workouts. I wish other apps would incorporate this.

But the most frustrating thing is actually the user interface and the responsiveness of the screen. It's REALLY hard to select things. I have to tap it at just the right speed and withdraw my fingers at just the right time. There was one time it took me 30 seconds of tapping to start a playlist. As a whole, the UI feels clunky and not that intuitive. I can forgive it in the free version, but not the premium version.

I think there's a lot of potential. If they polish the UI (significantly), add a LOT more punch tracks and even more types of activities in the full-body workouts, I think it might be worth the $. I like what I see here, but I'm not willing to pay that much for it, not yet at least."
3,Geofreyg,13 days ago,5,Outstanding,"Blown away….
Finally a VR workout where your not just flaying your arms around hitting targets.  The update is a game changer.  You guys have done an amazing job incorporating weights in a safe, effective and practical manner.

Actually feel like I’m training one on one."
4,Heebs33,Feb 26 at 4:30 PM,5,Still feeling it 3 days later!,I am a 45 year old mother of 4 who most definitely needs to get back into fighting shape and knows what it is going to take to get there! Liteboxer is a great app that will get your blood pumping and your muscles sore!  The instructors tutorials are helpful. The only thing I would recommend is maybe a short tutorial on how to use your core and other muscles to get the best benefits from your workouts! Thank you for creating a "free" and fun app to get us up and moving!
5,Meenimynimo,2 days ago,4,Almost there!,"I was excited about filling out my FitXR cardio with more strength-training oriented workouts so got a Litesport trial. 

The Litesport strength is fun, and the total body is good as well. But I was disappointed with the boxing format compared to FitXR boxercise or actual shadowboxing of TToF. 

Not to diminish from the other two, just would like more quantity/variety there, and is not a good complete cardio replacement yet but does seem like they're working on it.

Oh and the music is great! Lots of fun songs on there.

Finally, especially for strength - would be killer to have adapted and dynamic training programs and not just the individual workouts. The reason I still subscribe to a more holistic strength training site is the programs so we're not overtraining or missing something. If Litesport improves these aspects (more, and some structure) I'll be happy to switch over. 

Looking forward to keeping up with the updates and hopefully making the change eventually!"
6,Brian Anthony,Mar 13 at 4:42 PM,5,Amazing workout!,"I was looking for a way to get some cardio in, in a fun way, and Liteboxer checked all the boxes! I'd never tried a boxing app before and I really enjoyed the way the app was set-up - it was easy to use and the excellent trainers made the workouts fun. I liked the fact that you could choose different workouts based on length and intensity. It's become a staple in my workout routine."
7,Sharktic,Feb 2 at 5:35 AM,5,Fun and Easy Exercise,I just started taking a real interest in my own personal fitness and came across Liteboxer VR when I was looking to do stuff at home. I tried the free version and was absolutely hooked and ended up buying the subscription. It's an easy and fun way to burn calories almost every day and since I've started mixing it into my workout routine I've lost over 20 lbs in about 2 months and the constant flow of new content means it always feels fresh again and again. I can't recommend it enough.
8,Weaver,Jan 15 at 7:35 PM,4,So much more than a boxing app!,"Free version! The total body work outs are wonderful!  Just what I was looking for!  I like boxing, but wanted a bit more of an overall workout… this is perfect!  Might need to rename in some way so people know it isn’t just boxing!  So excited for this program!  I do agree with previous reviewer of adding an option for us to purchase add ons.  Subscriptions are an automatic negative for me. I am not planning on a subscription, but do love the programs!  I’ll just keep the free trial version. Make some additional money by offering add ons!"
9,Emma,Mar 3 at 9:09 PM,5,A workout just from the tutorial!,I did this for the first time last night. I did all the free videos they had (so I think like 4) and I had A LOT of fun with it and now the next day I’m so sore which is an awesome feeling because I know it worked and that I got a good workout form it! I’m looking forward to doing it again tonight !
