,Name,Date,Star Rating,Title,Feedback
0,Mary-Antoinette,Mar 2 at 3:33 AM,5,My sincere gratitude...,"I've been doing Supernatural workouts for 2 months, but I'm glad I waited until today to leave a review because it was during my workout today that I started crying tears of joy when I realized that I found myself again. 
All the way into my early 30s, I was in pretty good shape. And they tell you to make healthy choices and stay active while you're young because your age will catch up with your health. I didn't listen, and as my metabolism slowed, I gained weight. My poor mental and physical health depleted me of energy, and I used food and alcohol as a way to cope. 
Then Covid happened, and I gained more weight...and then, just over a year ago, Covid took my mother. For an entire year, I went through a mid-life/existential crisis. From age 32 - 42, I went from 118 pounds to 195 pounds (I gained 40 of those pounds in the last 2 years).
But today, during my workout, I realized that something had shifted in my brain. Over the past 2 months, I slowly started feeling stronger, healthier, more energetic, more motivated...happier...hopeful. I also found that I didn't just create a habit; I created an addiction. I look forward to my Supernatural workouts every day. My workouts have increased to 2 hours a day, and it's still not enough. 
I just want to thank the creators of Supernatural, and especially, the coaches. Leanne, Coach Doc, Dwana, Mark, Raneir, Mindy...from the bottom of my heart, thank you so much for the motivation and support. I just can't say enough about how this app has turned my life around."
1,Pwoog,Jan 26 at 12:01 AM,5,One of the best Investments in my health,"My story should be put into a commercial for Supernatural and Oculus Fitness in general.

I am a 62 year old male who has lost 30 pounds in the last 4 - 6 months using virtual reality fitness on the Quest.  I started with Beat Saber then graduated to BoxVR ( now FitVR) but have now found Supernatural.  I have no complaints about the other experiences; other than they are not Supernatural.  The experience combined with the intensity of the workout is what puts Supernatural at the top.  

I have a home gym with enough machines to embarrass some small gyms.  I am an avid golfer and would find excuses to not use my treadmill, my recumbent or my Helix machine for my cardio exercise because it was tedious and boring.  Supernatural will kick your behind but you have “FUN” doing it."
2,Rob,Mar 8 at 9:00 PM,5,Great workout...but....,I am 60 and love the workouts......trying to find music that doesn't make me want to pull eardrums out can get difficult at times.  Please get more music and not so much of today's hiphop/rap/bad rock....Every night I open it and PRAY that the new ones shown of the left are ANYTHING I would do.  1/3 decent/great music is better than ZERO though!!!!  Older punk/New wave/classic rock/older metal please!!  LOVE IT!!
3,Nosnivel,Mar 17 at 8:36 AM,1,Thieves,"I have not used this app in well over a year.  I only used it a few times and it frankly was not that good. 

Sometimes when iogged in to Meta and had to make the transition from Oculus to Meta I looked for Supernatural to ensure it would not renew .

It was  not listed in my apps and further I  was assured this would not renew, that there was no record. When it was close to the year I confirmed that. 

I have been charged an annual renewal regardless and nobody wants to help. 

There are better free or less expensive exercise programs. 

I would suggest Beat Saber for one and Ragnarok as another."
4,Will Steele,6 days ago,1,Getting stagnant an non innovative,"In addition to removing MRC tool support, the app has become quite boring.  Yes, they have new workout playlists every week, but it is missing so many obvious features.  When inquiring about mixed reality capture on their facebook group I got a response from dozens of fanatics trying to tell me that recording my workouts is against Supernatural terms of service.  It's not.  Then my facbook account was suspended from posting to their group. This is after forking over $20/month for nearly 2 years. They've been aquired by facebook.  I don't think they care about improving or being innovative.  Heck, they couldn't even manage to get their payment authorization system to properly automatically bill me multiple times resulting in me not being able to log in.  There is so much that could be done better, but maybe I'll just do that myself and build a better app."
5,Zacourdc1,Mar 18 at 10:22 PM,5,The reviews are all spot on…,"I bought the oculus quest for my boyfriend who is a golf fanatic (so I thought golf+ would be great for him). I decided to one day try it and looked at the App Store and came across this app. I didn’t think much of it but decided to try the 7 day trial. 
It has been 8 days and I have been in the game every day on my lunch break (1 hr) and an hour after dinner. 

I am obsessed with the flow workouts! It gets my heartbeat up, sweat flowing, and me cheesing and laughing at some of the instructors’ jokes. 

I’ve tried some of coach Doc’s meditations and they are so good. 

The scenery, the music, the movements… I just love it. Best investment. Please continue with the Disney hits!!  They are my absolute favorite."
6,Ali Terrana,6 days ago,5,Addicting Fitness App,"Supernatural is extremely addicting. It is not only an amazing full body workout, it is also a blast! I started in Jan 23, I about to hit a 12 week streak. I have lost 20 lbs by using Supernatural and dieting. I enjoy the constant challenge, mix of 
music and choices available. The app is great and the option to choose higher intensities as you get stronger keeps you honest! I have also learned that when you update your app on the headset, it evaluates your progress and makes it harder to reach higher accuracies. I like their accessories and clothing as well."
7,Mara Jade,Dec 27 at 7:04 AM,5,Finally getting fit!,"We both have Quest2s and asked my boyfriend to download the demo to help me decide if I wanted to ""try it out for a month or two"" to kick start done exercising.  That was 6 months ago and we both have memberships now. I saw all the ads and that it was a monthly fee so I wanted not to like it, but it quickly won me over. It's cheaper than a gym and I've used it more than any gym membership I've ever had! The two main exercises, boxing and flow, are both fun and challenging in different ways and both give a good workout.  I assumed I could start at the medium level- less than a minute in I realized that was a nope! The ability to chain different workouts is different levels and times together really let's you get whatever you want out of it each time.  Like all the reviews say, the huge variety of licensed music is a big plus, but what really makes this app shine are the trainers.  I thought I wouldn't want relentlessly upbeat, fit people shouting encouragement at me, but I was wrong about that too! I love them all and sometimes find myself muttering ""thank you"" to a trainer at the end of a session thought they can't hear you."
8,Lianne,8 days ago,5,Chosing Songs,"I love this program! I have a ripped achilles and a torn ACL so Mobility is hard but with Supernatural I can keep my feet fairly planted and still get an amazing workout!!!

I do have one question. Can we select the songs we want to workout to? So have a list and let us choose the songs and then click go? Just asking if a Personal Play List can be an option?

Thanks 
Li


Part 2
I know that the choreo and coaching is months in planning and such but each time you finish a workout it says let's go to the next and then the scene changes, etc. I'm wondering if within the songs already in the program...one can choose the ones you like? Not just any song :)"
9,Brianne,12 days ago,5,What’s not to love?!,"I’ve had Supernatural for about a month and love it. The coaches are uplifting and motivational (s/o to Coach Leanne!!), the workouts are a fun, upbeat experience in my weekly workout mix and the music is…chef’s kiss!! I’ll gladly pay the monthly subscription fee for the talent of the coaches and the sweet tunes. Keep up the great work, Supernatural team!!"
